,Unnamed: 0,id,text_review,aspect,polarity_aspect,category_aspect,all_aspects,all_categories
599,599,a2HTGYZIJa27NcwdTdJ4tQChlTfm-3385397___rating_4.txt,am folosit acest produs insa nu foarte intens. Am prins ceva bibani cu el insa trebuie sa mai insist.,am folosit acest produs insa nu foarte intens. Am prins ceva bibani cu el insa trebuie sa mai insist,0.0,utilizare,am folosit acest produs insa nu foarte intens. Am prins ceva bibani cu el insa trebuie sa mai insist; ,utilizare; 
600,600,a2I6yP4y47EnNIU92k7O81g2vW4e-2990393___rating_3.txt,Consider ca sunt suficiente cele cinci criterii de apreciere a magazinului si personalului.Prea putine caractere pentru exprimarea aspectelor negative. Nu vin neaaparat la Decathlon sa cumpar lucruri ieftine si de proasta calitate. Oferiti si branduri la preturi acceptabile (ex.mulinete de pescuit si bocanci pentru temperaturi extreme),Prea putine caractere pentru exprimarea aspectelor negative,-1.0,site,Prea putine caractere pentru exprimarea aspectelor negative; Nu vin neaaparat la Decathlon sa cumpar lucruri ieftine si de proasta calitate; Oferiti si branduri la preturi acceptabile; ,site; experienta; pret; 
603,603,a2kAMaRMRt0zKvw6xP.dnGiEZF20-1508046___rating_5.txt,Satisfacție globală : *ExcelentAmabilitatea personalului :Excelent  Prețuri atractive :BunVarietatea și disponibilitatea produselor :BunAtmosfera generală a magazinul,ExcelentAmabilitatea personalului,1.0,personal,ExcelentAmabilitatea personalului; Excelent  Prețuri atractive; BunVarietatea și disponibilitatea produselor; BunAtmosfera generală a magazinul; ,personal; pret; varietate; atmosfera; 
607,607,a2LyH4hiUqixNa_PsoKuM1IaBA.q-1325089___rating_1.txt,Deoarece  dac sari cu ea cand trotineta va atinge pamantul va scoate un zgomot enervant acest lucru nu se intampla si la trotinetele 1.8 si 3.6  dupa un timp si cand mergi se va auzi un zgomot de piese care troncane  NU O  RECOMAND!!!! impkus nici nu isi merita bani,dac sari cu ea cand trotineta va atinge pamantul va scoate un zgomot enervant,-1.0,utilizare,dac sari cu ea cand trotineta va atinge pamantul va scoate un zgomot enervant; cand mergi se va auzi un zgomot de piese care troncane; NU O  RECOMAND; nu isi merita bani; ,utilizare; utilizare; produs; pret-calitate; 
611,611,a2R_rmKi9nTK6uLh9w.WUlJHxrby-4230784___rating_3.txt,"Un produs cu ub pret la indemana oricarui pescar, ceea ce a facut ca pestele sa raspunda atunci cand este folosit la carlig.",Un produs cu ub pret la indemana oricarui pescar,1.0,pret,Un produs cu ub pret la indemana oricarui pescar; ,pret; 
612,612,a2_i_AwGHWkjHJixdkMkinvzgnT8-3200613___rating_2.txt,Un angajat de pe raion a incercat sa ma convinga ca exista mai multe produse cu exact acelasi nume desi la raft era o singura eticheta cu un singur pret. Mi s-a incasat aproape dublu fata de pretul de pe raft. Singura persoana amabila a fost la info unde mi-a si rezolvat problema.,Un angajat de pe raion a incercat sa ma convinga ca exista mai multe produse cu exact acelasi nume desi la raft era o singura eticheta cu un singur pret,-1.0,personal,Un angajat de pe raion a incercat sa ma convinga ca exista mai multe produse cu exact acelasi nume desi la raft era o singura eticheta cu un singur pret; Mi s-a incasat aproape dublu fata de pretul de pe raft; .; Singura persoana amabila a fost la info unde mi-a si rezolvat problema; ,personal; servicii; nan; personal; 
616,616,a3drMGv24.YIhAd91H_j1i8kS_cO-1709442___rating_1.txt,"Am cumparat o minge de fotbal care la casa nu au gasit-o in stoc(eroare mesaj: produs inexistent)  iar al doilea produs(ochelari de soare pentru juniori)  pe care l-am cumparat avea un pret de 23lei(parca) la raft iar la casa am pretul crescuse cu 50 lei.Va intreb eu acum oameni buni,in ce tara traim?",Am cumparat o minge de fotbal care la casa nu au gasit-o in stoc,-1.0,disponibilitate,Am cumparat o minge de fotbal care la casa nu au gasit-o in stoc; la casa am pretul crescuse cu 50 lei; ,disponibilitate; pret; 
618,618,a3sDM7MI2.Cys3iWyV7yKzfHoFO8-1445762___rating_5.txt,"Sunt foarte mulțumită, atât de calitatea produselor cat și de promptitudinea primii comenzii. Nu am niciun fel de reproș de adus. Serviciile fiind ireproșabile.",Sunt foarte mulțumită,1.0,experienta,Sunt foarte mulțumită; calitatea produselor; promptitudinea primii comenzii; Nu am niciun fel de reproș de adus; Serviciile fiind ireproșabile; ,experienta; calitate; comanda; experienta; servicii; 
623,623,a3yfa9L.Wjls9Qovn7Noyu40QBju-2824494___rating_1.txt,"Personalul nu tocmai amabil,nu prea știu ce marfa au in magazin,sunt foarte slab instruiți foarte mare zarva datorită copiilor și părinților care testează biciclete/role/trotinete fără sa cumpere!",Personalul nu tocmai amabil,-1.0,personal,Personalul nu tocmai amabil; nu prea știu ce marfa au in magazin; sunt foarte slab instruiți; foarte mare zarva datorită copiilor și părinților care testează biciclete/role/trotinete fără sa cumpere; ,personal; personal; personal; atmosfera; 
627,627,a4asHOHrnLu53m4q5vFDjC500lQO-1319390___rating_1.txt,"orificiul de acces al piciorului trebuie marit si recomand utilizarea unui arici de prindere sau a unui siret prin care sa fixezi pantoful pe picior. Asa cum este acum incaltatul devine un chin, mai ales daca piciorul este ud. (copilul poarta masura 29 la incaltamintea NEW FEEL, iar pantofii acestia sunt masura 30-31)",orificiul de acces al piciorului trebuie marit,-1.0,produs,orificiul de acces al piciorului trebuie marit; incaltatul devine un chin; ,produs; confort; 
629,629,a4ilF9.vb9AYVYY42lJkFHa9VQJS-2719103___rating_2.txt,"Cred ca e a patra oara cand ajung acolo ,  din baia mare , si acelasi raspuns ptr card , nu ne merge sistemul de imprimare ,,, mai degraba nu au chef sau timp ?","acelasi raspuns ptr card , nu ne merge sistemul de imprimare",-1.0,servicii,"acelasi raspuns ptr card , nu ne merge sistemul de imprimare; mai degraba nu au chef sau timp; ",servicii; personal; 
631,631,a4lEeaYI6gKgZzdezvnat8CUqKp0-3731770___rating_5.txt,Costumul de baie are un material rezistent si e potrivit pt activitățile de înot,Costumul de baie are un material rezistent,1.0,material,Costumul de baie are un material rezistent; e potrivit pt activitățile de înot; ,material; utilizare; 
633,633,a4NvdEQ0sOWtU4NVH8jIA8nEJ.iy-5806621___rating_4.txt,sunt prea putine persoane care pot sa te ajute in cazul cumparaturilor,sunt prea putine persoane care pot sa te ajute in cazul cumparaturilor,-1.0,personal,sunt prea putine persoane care pot sa te ajute in cazul cumparaturilor; ,personal; 
634,634,a4q87dc3S4rWRVutMLbfftWqADF8-1883547___rating_2.txt,"Lipsesc multe produse care se regasesc in alte magazine Decathlon: ex. Ploiesti, Brasov, Iasi. Preturile sunt diferite. Pacat.",Lipsesc multe produse care se regasesc in alte magazine Decathlon,-1.0,disponibilitate,Lipsesc multe produse care se regasesc in alte magazine Decathlon; Preturile sunt diferite; ,disponibilitate; pret; 
636,636,a4rQTRHHn0Un1U0YjZftZEMVqTqq-3128105___rating_5.txt,"Am cumparat un Penyboard si pot sa spun ca sint foarte multumit de el, si calitate si preț. Recomand cu incredere .","sint foarte multumit de el, si calitate si preț",1.0,pret-calitate,"sint foarte multumit de el, si calitate si preț; Recomand cu incredere; ",pret-calitate; produs; 
638,638,a4zLSwpnHmY8IM7JexXC2WtB0.ga-1509528___rating_5.txt,"Nu cred ca sunt in masura sa fac recomandari speciale,ceea ce ma intereseaza pe mine e ok,cumpar cu placere si imi place atmosfera din magazin,produsele sunt de calitate,deci tineti-o tot asa !",ceea ce ma intereseaza pe mine e ok,1.0,produs,ceea ce ma intereseaza pe mine e ok; cumpar cu placere; imi place atmosfera din magazin; produsele sunt de calitate; ,produs; experienta; atmosfera; calitate; 
642,642,a5AkbXY.ttESnMAFPUkgQqjGPxyi-5606943___rating_1.txt,"Am cumpărat ace pt umflat mingea recomandate de un angajat, fără sa știu ca nu se potrivesc decât la pompa speciala. Am ajuns la mașină și am constatat ca nu se potrivesc la compresorul mașinii. Am încercat sa le returnez, dar mi s-a spus ca nu este posibil pt ca e desfăcut ambalajul. Era destul de dificil sa îmi dau seama ca nu se potrivesc fără sa desfac ambalajul. Cred ca se puteau folosi, totuși, în magazin pt umflarea mingilor de la vânzare.",am constatat ca nu se potrivesc la compresorul mașinii,-1.0,produs,"am constatat ca nu se potrivesc la compresorul mașinii; Am încercat sa le returnez, dar mi s-a spus ca nu este posibil pt ca e desfăcut ambalajul; ",produs; retur; 
644,644,a5eURMFdIpg82DaKIyOHllaLk1di-1377055___rating_3.txt,"Lipsa personaluli pe raion.Nu am primit ambalaj pentru produsul cumparat [cutie pentru incaltaminte cumparata]. Nu am fost intrebat daca doresc asa ceva.La casa nu am fost intrebat daca am card...daca vreau sa il fac, desi il aveam activat online.",Lipsa personaluli pe raion,-1.0,personal,Lipsa personaluli pe raion; Nu am primit ambalaj pentru produsul cumparat; Nu am fost intrebat daca doresc asa ceva; La casa nu am fost intrebat daca am card; ,personal; servicii; personal; personal; 
648,648,a5U6YnPjhENOTTubc5flI1eXD74K-5733330___rating_2.txt,"I ordered this rucksack in the store and after I've analyze it  I change my mind.- it has only one big compartment - this is a huge minus- the rain cover is in the upper cover - minus because in the bottom had a anti moist effect- the main compartment with 2 zippers and a Velcro - not ok for rainy day or winter- 2.7kg - heavier than others 70+10l rucksack- no ice-pick strap holder  It had to PRO's  - the bottle pockets, the pockets from the belt are more durable.","I ordered this rucksack in the store and after I've analyze it  I change my mind.- it has only one big compartment - this is a huge minus- the rain cover is in the upper cover - minus because in the bottom had a anti moist effect- the main compartment with 2 zippers and a Velcro - not ok for rainy day or winter- 2.7kg - heavier than others 70+10l rucksack- no ice-pick strap holder  It had to PRO's  - the bottle pockets, the pockets from the belt are more durable.",,irelevant,"I ordered this rucksack in the store and after I've analyze it  I change my mind.- it has only one big compartment - this is a huge minus- the rain cover is in the upper cover - minus because in the bottom had a anti moist effect- the main compartment with 2 zippers and a Velcro - not ok for rainy day or winter- 2.7kg - heavier than others 70+10l rucksack- no ice-pick strap holder  It had to PRO's  - the bottle pockets, the pockets from the belt are more durable.; ",irelevant; 
649,649,a610PvsbN68GeovjbGJ8N8Jq8GJS-3994785___rating_5.txt,"Personal instruit, atitudine pozitiva, foarte placut.Pentru produse tehnice (biciclete) ar fi nevoie de doi vinzatori, pentru ca se asteapta cam mult.Am identificat biciclete care nu erau disponibile in Romania, si din Franta ar fi venit in patru saptamini. Am renuntat.La casetele de mai jos este limitat numarul de caractere, nu am putut sa scriu",Personal instruit,1.0,personal,"Personal instruit; atitudine pozitiva; foarte placut; Pentru produse tehnice (biciclete) ar fi nevoie de doi vinzatori, pentru ca se asteapta cam mult; Am identificat biciclete care nu erau disponibile in Romania; din Franta ar fi venit in patru saptamini. Am renuntat; La casetele de mai jos este limitat numarul de caractere, nu am putut sa scriu; ",personal; atitudine; experienta; servicii; disponibilitate; livrare; site; 
656,656,a656yyCnv0X5QPMuptfngWcGMVaW-5776659___rating_5.txt,"excelente pentru mers ziua intreaga pe asfalt si beton, foarte buna amortizare.",excelente pentru mers ziua intreaga pe asfalt si beton,1.0,utilizare,excelente pentru mers ziua intreaga pe asfalt si beton; foarte buna amortizare; ,utilizare; utilizare; 
658,658,a69AJXuuqZu9lUTO7WCJBqQLKtoC-2221341___rating_5.txt,"Prima instalare a cortului a fost in creasta Craiului. Peste noapte vânt puternic si ploaie. A rezistat foarte bine, avand in vedere ca pozitia de montare nu era perfecta datorita terenului.",A rezistat foarte bine,1.0,rezistenta,A rezistat foarte bine; ,rezistenta; 
659,659,a6DUbqaTjLEFGGVdvNE5qb0F5uZq-2932031___rating_5.txt,"Mi-ar placea sa se aduca de fiecare data mai multe produse, din imbracamintea si incatamintea, numerele cele mai uzuale. ex nr 39, respectiv 44 la incaltaminte cam greu prind.",Mi-ar placea sa se aduca de fiecare data mai multe produse,-1.0,disponibilitate,"Mi-ar placea sa se aduca de fiecare data mai multe produse; numerele cele mai uzuale. ex nr 39, respectiv 44 la incaltaminte cam greu prind; ",disponibilitate; disponibilitate; 
661,661,a6ebBLFPSlRkiGuWn3j48wQPa9M4-5014655___rating_5.txt,"Foarte confortabila si practica, buna aproape pentru orice vreme. Tine bine de cald chiar si iarna. Merita toti banii.",Foarte confortabila,1.0,confort,Foarte confortabila; practica; buna aproape pentru orice vreme; Tine bine de cald chiar si iarna; Merita toti banii; ,confort; utilitate; utilizare; utilizare; produs; 
666,666,a6KX9VkFAeblXGmizlBeINrJQWRa-2911232___rating_4.txt,"Deşi e excelentă ideea de a proba echipamentul sportiv, magazinul are un aspect general haotic (poate era mai ok dacă pista pt. biciclete, trotinete etc.era amenajată în spatele/lateralul magazinului - deseori m-am împiedicat în mijlocul magazinului de copii """"sportivi""""). De asemenea ar fi extrem de utilă uniformizarea parametrilor de pe descrierea produselor (de exemplu la unele ghete e desenat un grafic în care se prezintă gradul de impermeabilitate, în timp ce la altele mi se spune câte ore poți sta încălțat cu ele fără să te uzi). Cred că acestea sunt aspecte pe care le-am menționat şi în chestionarul pe care l-am completat în urmă cu un an sau doi, din păcate nu s-a schimbat nimic... PS. Sunt foarte nemulțumită de faptul că am cumpărat pentru fiica mea (8ani) o pereche de ghete pt.iarnă cu grad 3 din 5 de impermeabilitate şi e mereu udă la picioare (adică nu-s deloc impermeabile, ba chiar parcă """"sug"""" apa); aş cumpăra o pereche de ghete 100% impermeabile, dar nu aveți...",e excelentă ideea de a proba echipamentul sportiv,-1.0,servicii,"e excelentă ideea de a proba echipamentul sportiv; magazinul are un aspect general haotic; deseori m-am împiedicat în mijlocul magazinului; ar fi extrem de utilă uniformizarea parametrilor de pe descrierea produselor; din păcate nu s-a schimbat nimic; Sunt foarte nemulțumită de faptul că am cumpărat pentru fiica mea (8ani) o pereche de ghete pt.iarnă cu grad 3 din 5 de impermeabilitate şi e mereu udă la picioare; nu-s deloc impermeabile; aş cumpăra o pereche de ghete 100% impermeabile, dar nu aveți; ",servicii; organizare; atmosfera; servicii; experienta; utilizare; produs; disponibilitate; 
674,674,a6viOgtRdPjeavsKt6Yq89eZZQPW-4166553___rating_5.txt,Dna de la camping a fost foarte amabila si bine pregatita.,Dna de la camping a fost foarte amabila si bine pregatita,1.0,personal,Dna de la camping a fost foarte amabila si bine pregatita; ,personal; 
675,675,a6ywSDEoKcy7jwf0JcH5OHhNgQKW-3890447___rating_5.txt,Personal foarte amabil și gata sa te ajute în orice moment.,Personal foarte amabil,1.0,personal,Personal foarte amabil; gata sa te ajute în orice moment; ,personal; personal; 
677,677,a72cstwFkcbx0wIVOZiXEzwEak.W-4194270___rating_5.txt,"Desii articolele de vara trebuiau reorganizate/retrase,deoarece intrasera colectiile de toamna,nu s-a intamplat acest lucru,iar anumite raioane erau goale sau mai rau aveau cate un produs ratacit prin raft.O imagine care nu face cinste brand-ului Decathlon.","Desii articolele de vara trebuiau reorganizate/retrase,deoarece intrasera colectiile de toamna,nu s-a intamplat acest lucru",-1.0,servicii,"Desii articolele de vara trebuiau reorganizate/retrase,deoarece intrasera colectiile de toamna,nu s-a intamplat acest lucru; anumite raioane erau goale sau mai rau aveau cate un produs ratacit prin raft; O imagine care nu face cinste brand-ului Decathlon; ",servicii; disponibilitate; magazin; 
680,680,a7Bn1oq3ISt6_ukmGYNLnIyXbpPm-3259515___rating_2.txt,"Asezarea incaltamintei si a restul produselor pe branduri si pe categorii. ( incaltamintea Adidas respectiv brandul vostru era pe 3 raioane puse haotic, la fel si treningurile)",Asezarea incaltamintei si a restul produselor pe branduri si pe categorii,-1.0,aranjare,"Asezarea incaltamintei si a restul produselor pe branduri si pe categorii; incaltamintea Adidas respectiv brandul vostru era pe 3 raioane puse haotic, la fel si treningurile; ",aranjare; organizare; 
682,682,a7c_S.tQUQlxaVuHJ9AjLFxDMGrm-2393709___rating_5.txt,Mai multe piese de schimb pt biciclete. Exemplu : reflector lateral galben pt roti.,Mai multe piese de schimb pt biciclete,-1.0,varietate,Mai multe piese de schimb pt biciclete; ,varietate; 
683,683,a7gc2io6FUxW0sB8EalSKsiS455y-4151699___rating_3.txt,O saptamana s trebuit purtat fara talpic pentru ca l batea la spate,O saptamana s trebuit purtat fara talpic pentru ca l batea la spate,-1.0,utilizare,O saptamana s trebuit purtat fara talpic pentru ca l batea la spate; ,utilizare; 
684,684,a7Lv..dwEuh1vPIf5NMXYfIg0ox0-2990390___rating_2.txt,Dsoara de la casa mi-a aruncat produsele cumparate într-o sacosa sub pretextul că așteaptă și alte oameni la coada în condițiile în care mai era o singura persoana după mine.,Dsoara de la casa mi-a aruncat produsele cumparate într-o sacosa sub pretextul că așteaptă și alte oameni la coada în condițiile în care mai era o singura persoana după mine,-1.0,personal,Dsoara de la casa mi-a aruncat produsele cumparate într-o sacosa sub pretextul că așteaptă și alte oameni la coada în condițiile în care mai era o singura persoana după mine; ,personal; 
685,685,a8Ay.LPfx5Oi82EttxtgNT5nKox0-5843785___rating_3.txt,am cautat pantofi de fotbal dar din pacate oferta din magazin a fost cam slaba. in cele din urma am achizitionat o pereche Kipsta care spre surprinderea mea se prezinta destul de bine...sunt curios cat de bine se vor mentine pe viitor.,din pacate oferta din magazin a fost cam slaba,-1.0,varietate,din pacate oferta din magazin a fost cam slaba; se prezinta destul de bine; ,varietate; produs; 
687,687,a8eIuC3xHyZkr2oUuJoKd9T9NaPG-1676059___rating_2.txt,"Preturi la produse lipsa,informatii despre preturi la personalul de la casa lipsa",Preturi la produse lipsa,-1.0,servicii,Preturi la produse lipsa; informatii despre preturi la personalul de la casa lipsa; ,servicii; servicii; 
689,689,a8VoiCA7YZxxuNu3j1VuHi.ygkeO-4729611___rating_3.txt,"Dupa ce mi s-au reglat schimbatoarele,la 3 zile s-a rupt schimbatorul de foi","Dupa ce mi s-au reglat schimbatoarele,la 3 zile s-a rupt schimbatorul de foi",-1.0,servicii,"Dupa ce mi s-au reglat schimbatoarele,la 3 zile s-a rupt schimbatorul de foi; ",servicii; 
690,690,a97PqaCKM9ZwtK1VzNN85vWsEL.m-4248157___rating_3.txt,"Stocurile foarte scazute, chiar inexistente la anumite produse.Majoritatea rafturilor erau goale.","Stocurile foarte scazute, chiar inexistente la anumite produse",-1.0,disponibilitate,"Stocurile foarte scazute, chiar inexistente la anumite produse; Majoritatea rafturilor erau goale; ",disponibilitate; disponibilitate; 
692,692,a9Q1hJCNYWBLm33uh_VkkqCtnHr4-4173034___rating_3.txt,Din pacate arcul face un zgomot neplacut la fiecare extindere (un fel de scartatit). Freaca de ceva la capetele lui. Este foarte buna ideea reglarii fortei insa ar fi normal ca aparatul sa nu scoata zgomote.,Din pacate arcul face un zgomot neplacut la fiecare extindere,-1.0,utilizare,Din pacate arcul face un zgomot neplacut la fiecare extindere; Freaca de ceva la capetele lui; Este foarte buna ideea reglarii fortei; ar fi normal ca aparatul sa nu scoata zgomote; ,utilizare; utilizare; produs; produs; 
696,696,a9x2hn4di_JrYKFsI_F7etDyutqS-5436598___rating_2.txt,"Dupa numai 2 luni de purtat materialul panzat a """"s-a taiat"""", asa ca orice purtare pe ploaie inseamna sa stai cu picioarele ude toata ziua.","Dupa numai 2 luni de purtat materialul panzat a """"s-a taiat""""",-1.0,rezistenta,"Dupa numai 2 luni de purtat materialul panzat a """"s-a taiat""""; orice purtare pe ploaie inseamna sa stai cu picioarele ude toata ziua; ",rezistenta; utilizare; 
698,698,a9ytW5GUmofoMdHz1WKpYHAKe9j8-4242098___rating_3.txt,"Casutele de la intrarea in magazine folosite pentru depozitarea bagajelor nu mai functioneaza. Am fost nevoit sa merg printer rafturi cu alte cumparaturi, ceea ce a dus la o grija in plus (urmarirea permanenta a cosului cand eu probam sau cautam articole) precum si la scurtarea timpului petrecut in magazin.Multe dintre produsele cautate (echipament trail) aveau stoc foarte mic si chiar deloc din marimea pe care ma interesa.",Casutele de la intrarea in magazine folosite pentru depozitarea bagajelor nu mai functioneaza,-1.0,magazin,"Casutele de la intrarea in magazine folosite pentru depozitarea bagajelor nu mai functioneaza; Am fost nevoit sa merg printer rafturi cu alte cumparaturi, ceea ce a dus la o grija in plus (urmarirea permanenta a cosului cand eu probam sau cautam articole) precum si la scurtarea timpului petrecut in magazin; Multe dintre produsele cautate (echipament trail) aveau stoc foarte mic si chiar deloc din marimea pe care ma interesa; ",magazin; experienta; disponibilitate; 
701,701,aa3E..WhARdxnIRvPN0V6dCg44b0-1358949___rating_5.txt,"Gama foarte redusă de culori, a puloverelor SOLOGNAC VÂNĂTOARE oferite la vânzare. Sugerez ca lângă încălțăminte și îmbrăcăminte să expuneți și produse destinate întreținerii lor, ca exemplu = soluții de impermeabilizare, cremă pentru ghete (inclusiv incoloră), perii de diferite durități și chiar nasturi de rezervă (în afară de cei suplimentari adăugați la cămăși și pantaloni).",Gama foarte redusă de culori,-1.0,varietate,Gama foarte redusă de culori; ,varietate; 
702,702,aA5bT7h0V8ASabC_tHK5.YhxWB3i-3465386___rating_4.txt,"Produsele care apar pe site, de multe ori nu sunt disponibile in magazin;Culorile la articolele vestimentare sunt de multe ori disponibile in maxim doua variante;Se vede clar o diferenta privind diversitatea si disponibilitatea produselor din Franta comparativ cu cele disponibile in Romania...","Produsele care apar pe site, de multe ori nu sunt disponibile in magazin",-1.0,disponibilitate,"Produsele care apar pe site, de multe ori nu sunt disponibile in magazin; Culorile la articolele vestimentare sunt de multe ori disponibile in maxim doua variante; Se vede clar o diferenta privind diversitatea si disponibilitatea produselor din Franta comparativ cu cele disponibile in Romania; ",disponibilitate; varietate; disponibilitate; 
705,705,aa5U7u_wpDP7Yt7UPIItOwaN_rGq-4841326___rating_4.txt,"E prima data ca mi se intampla : intr-o prima faza nu stiu de ce dar ambele degete mari de la picioare m-au """"durut"""" pentru 2-3 zile :( , acum totul e ok :)Cred ca respectiva durere initiala nu e normala, probabil tine de cum se flexeaza varful pantofului","intr-o prima faza nu stiu de ce dar ambele degete mari de la picioare m-au """"durut"""" pentru 2-3 zile",-1.0,utilizare,"intr-o prima faza nu stiu de ce dar ambele degete mari de la picioare m-au """"durut"""" pentru 2-3 zile; acum totul e ok; ",utilizare; experienta; 
707,707,aaC6gFW94sTYB0VLts2u04O.ugtm-5412397___rating_5.txt,Am achizitionat-o cu 20 lei si sunt foarte incantata de calitate. Am purtat-o direct sub geaca de ski si nu mi-a fost frig deloc. Recomand!,sunt foarte incantata de calitate,1.0,calitate,sunt foarte incantata de calitate; Am purtat-o direct sub geaca de ski si nu mi-a fost frig deloc; Recomand; ,calitate; utilizare; produs; 
710,710,aafajIIFoWM1wPnKkXwELjpKiuSm-2901680___rating_3.txt,Recomand ca pretul de transport sa fie disponibil in cosul de cumparaturi inainde de a da check-out,Recomand ca pretul de transport sa fie disponibil in cosul de cumparaturi inainde de a da check-out,-1.0,site,Recomand ca pretul de transport sa fie disponibil in cosul de cumparaturi inainde de a da check-out; ,site; 
711,711,aamss4TZ48tDPfmpjODdOfw35kVW-3721820___rating_3.txt,Multe produse pe site care lipsesc din magazine și din magazinul online,Multe produse pe site care lipsesc din magazine și din magazinul online,-1.0,disponibilitate,Multe produse pe site care lipsesc din magazine și din magazinul online; ,disponibilitate; 
712,712,aAot3fQNIb4rs1A2oIy6sPAl8JVG-3378695___rating_4.txt,Sa fie prețurile mai mici sa sa fie mai multe produse la oferta cu preț redus,Sa fie prețurile mai mici,-1.0,pret,Sa fie prețurile mai mici; sa fie mai multe produse la oferta cu preț redus; ,pret; pret; 
714,714,aApZ65kGvUzjjwH9KK_lSKZWeUzS-3159368___rating_2.txt,"Agentii de paza sunt prea """" curiosi """", te urmaresc non-stop, ca si cum clientul ar fi cel mai mare infractor/terorist, creand un sentiment de disconfort, violand astfel  intimitatea proprie.","Agentii de paza sunt prea """" curiosi """", te urmaresc non-stop, ca si cum clientul ar fi cel mai mare infractor/terorist, creand un sentiment de disconfort, violand astfel  intimitatea proprie",-1.0,personal,"Agentii de paza sunt prea """" curiosi """", te urmaresc non-stop, ca si cum clientul ar fi cel mai mare infractor/terorist, creand un sentiment de disconfort, violand astfel  intimitatea proprie; ",personal; 
715,715,aaqxHnfk_WRhFf5n1kKbZ40jCwmi-4989059___rating_2.txt,La raft este afisat un pret si la casa altul mai mare ....,La raft este afisat un pret si la casa altul mai mare,-1.0,conformitate,La raft este afisat un pret si la casa altul mai mare; ,conformitate; 
716,716,aasPDHNC6BjL37AqQVuJ5E.Dfhya-1333731___rating_5.txt,Preturi mai mari comparat cu carrefour pt accesorii travel si stoc insuficient perne pt calatorii (1 buc),Preturi mai mari comparat cu carrefour pt accesorii travel,-1.0,pret,Preturi mai mari comparat cu carrefour pt accesorii travel; stoc insuficient perne pt calatorii (1 buc); ,pret; disponibilitate; 
718,718,aASv8ZBblXVCecd7gRhUKtesoqGe-5301215___rating_5.txt,"Am purtat doar bluza sub geaca de ski și reglează foarte bine temperatura. Erau aproximativ -5, -10 grade și doar când urcam pe telescaun îmi era puțin răcoare, nu am avut nevoie de polar. Se simte foarte OK pe piele.",reglează foarte bine temperatura,1.0,utilizare,reglează foarte bine temperatura; Se simte foarte OK pe piele; ,utilizare; material; 
720,720,ab0FEmehUxmlFeXyAlXkvp33yppi-5316232___rating_3.txt,Nu am găsit mărimile necesare pentru tot ce aveam nevoie. Produsele erau amestecate si la unele greu de ajuns puse prea sus. Produsele cam scumpe.,Nu am găsit mărimile necesare pentru tot ce aveam nevoie,-1.0,marimi,Nu am găsit mărimile necesare pentru tot ce aveam nevoie; Produsele erau amestecate; la unele greu de ajuns puse prea sus; Produsele cam scumpe; ,marimi; aranjare; aranjare; pret; 
724,724,aB15AUku5CCvTN7uVui4FitX9LEu-4292132___rating_1.txt,"Foarte slabi, s-au dezlipit dupa 3 luni. Nu se pot returna pe garantie. Garantia este de doar 1 luna  :(",Foarte slabi,1.0,produs,Foarte slabi; s-au dezlipit dupa 3 luni; Nu se pot returna pe garantie; Garantia este de doar 1 luna; ,produs; rezistenta; servicii; servicii; 
728,728,ab4PGWQVqku24amlP4RgA_QbD5sK-1935888___rating_5.txt,O aprovizionare mai buna  cu modele diversificate la gama de biciclete având în vedere că vine căldura.,O aprovizionare mai buna  cu modele diversificate la gama de biciclete având în vedere că vine căldura,-1.0,aprovizionare,O aprovizionare mai buna  cu modele diversificate la gama de biciclete având în vedere că vine căldura; ,aprovizionare; 
729,729,aBBUIQycvQ4zuqBVw2V4AnNwEENK-3665920___rating_3.txt,"Se procesează si livrează greoi comenzile online produsele nu vin ambalate,in rest calitate la preturi rezonabile !de la mult ne nota 10 pentru calitate si preț si un 8 pentru livrare !",Se procesează si livrează greoi comenzile online,-1.0,comanda,Se procesează si livrează greoi comenzile online; produsele nu vin ambalate; calitate la preturi rezonabile; nota 10 pentru calitate si preț; un 8 pentru livrare; ,comanda; produs; pret-calitate; pret-calitate; livrare; 
734,734,aBf_qVToozYImEil2rqCQH6rsdWG-4667433___rating_4.txt,Varietate redusă de produse de îmbrăcăminte și încălțăminte pentru copii.,Varietate redusă de produse de îmbrăcăminte și încălțăminte pentru copii,-1.0,varietate,Varietate redusă de produse de îmbrăcăminte și încălțăminte pentru copii; ,varietate; 
735,735,aBKGDUvZDQhaRsh6uFxR99HYkZLm-1710446___rating_1.txt,"Din 10 produse afisate pe site pentru pescuit la musca 9 nu sunt in stoc, asa ca nota mea este foarte slab!",Din 10 produse afisate pe site pentru pescuit la musca 9 nu sunt in stoc,-1.0,disponibilitate,Din 10 produse afisate pe site pentru pescuit la musca 9 nu sunt in stoc; nota mea este foarte slab; ,disponibilitate; magazin; 
737,737,aBl_ewWXcP5ypvX8X0c5NhQgpL8q-1765212___rating_2.txt,"Sugerez expunerea la raft și a produselor din gama PREMIUM  din domeniul activităților montane (camping, alpinism , drumeție ).",Sugerez expunerea la raft și a produselor din gama PREMIUM  din domeniul activităților montane,0.0,servicii,Sugerez expunerea la raft și a produselor din gama PREMIUM  din domeniul activităților montane; ,servicii; 
